"","IBA","ID","country","currentRich","futureRich","emmigrants","colonists","stablesp","GCM","SDM"
"1","Yungas Superiores de Madidi","14348","Bolivia","155","159","7","11","148","CCSM4","GAM"
"2","Noel Kempff Mercado","14349","Bolivia","115","112","5","2","110","CCSM4","GAM"
"3","Cuencas de Ríos Caine y Mizque","14350","Bolivia","132","131","4","3","128","CCSM4","GAM"
"4","Apolo","14353","Bolivia","135","131","13","9","122","CCSM4","GAM"
"5","Bajo Río Beni, Región Tacana","14354","Bolivia","94","77","20","3","74","CCSM4","GAM"
"6","Lagunas de Agua Dulce del Sureste de Potosí","14355","Bolivia","48","53","0","5","48","CCSM4","GAM"
"7","Lagunas Salinas del Suroeste de Potosí","14356","Bolivia","47","50","0","3","47","CCSM4","GAM"
"8","Cuenca Cotacajes","14357","Bolivia","96","101","9","14","87","CCSM4","GAM"
"9","Parque nacional Sajama","14358","Bolivia","57","62","0","5","57","CCSM4","GAM"
"10","Southern slopes of Tunari National Park (Vertiente Sur del Parque Nacional Tunari IBA)","14359","Bolivia","125","135","1","11","124","CCSM4","GAM"
"11","Yungas Inferiores de Amboró","14360","Bolivia","169","153","16","0","153","CCSM4","GAM"
"12","Lago Poopó y Río Laka Jahuira","14361","Bolivia","64","65","1","2","63","CCSM4","GAM"
"13","Bosque de Polylepis de Madidi","14362","Bolivia","152","165","0","13","152","CCSM4","GAM"
"14","Loreto","14363","Bolivia","92","78","17","3","75","CCSM4","GAM"
"15","Lago Titicaca (Sector Boliviano)","14364","Bolivia","80","80","1","1","79","CCSM4","GAM"
"16","Área Natural de Manejo Integrado San Matías","14365","Bolivia","110","102","9","1","101","CCSM4","GAM"
"17","Yungas Inferiores de Madidi","14367","Bolivia","147","140","10","3","137","CCSM4","GAM"
"18","Cristal Mayu y Alrededores","14368","Bolivia","102","100","12","10","90","CCSM4","GAM"
"19","Reserva de Inmovilización Iténez","14369","Bolivia","90","72","18","0","72","CCSM4","GAM"
"20","Reserva Nacional Amazónica Manuripi Heath","14370","Bolivia","98","82","18","2","80","CCSM4","GAM"
"21","Federico Román","14371","Bolivia","81","62","21","2","60","CCSM4","GAM"
"22","Tahuamanu","14372","Bolivia","98","80","20","2","78","CCSM4","GAM"
"23","Cercanías de Riberalta","14373","Bolivia","89","68","21","0","68","CCSM4","GAM"
"24","Reserva Biológica Cordillera de Sama","14374","Bolivia","85","97","1","13","84","CCSM4","GAM"
"25","Cerrado de Riberalta","14379","Bolivia","81","58","25","2","56","CCSM4","GAM"
"26","KAA-IYA del Gran Chaco","14381","Bolivia","111","88","24","1","87","CCSM4","GAM"
"27","Quebrada Mojón","14382","Bolivia","76","70","14","8","62","CCSM4","GAM"
"28","Cerro Q'ueñwa Sandora","14383","Bolivia","70","75","0","5","70","CCSM4","GAM"
"29","Azurduy","14384","Bolivia","115","116","6","7","109","CCSM4","GAM"
"30","Reserva Nacional de Flora y Fauna Tariquía","14386","Bolivia","119","110","12","3","107","CCSM4","GAM"
"31","Yungas Inferiores de Pilón Lajas","14387","Bolivia","118","108","10","0","108","CCSM4","GAM"
"32","Yungas Superiores de Apolobamba","14388","Bolivia","148","154","2","8","146","CCSM4","GAM"
"33","Yungas Superiores de Amboró","14390","Bolivia","145","139","13","7","132","CCSM4","GAM"
"34","Yungas Superiores de Carrasco","14391","Bolivia","166","160","9","3","157","CCSM4","GAM"
"35","Tacacoma-Quiabaya y Valle de Sorata","14392","Bolivia","101","112","2","13","99","CCSM4","GAM"
"36","Yungas Superiores de Mosetenes y Cocapata","14393","Bolivia","166","161","7","2","159","CCSM4","GAM"
"37","Yungas Inferiores de Isiboro-Sécure/Altamachi","14394","Bolivia","152","141","13","2","139","CCSM4","GAM"
"38","Palmar de las Islas","14396","Bolivia","81","63","19","1","62","CCSM4","GAM"
"39","Lagunas Rogaguado y Ginebra","14397","Bolivia","92","68","26","2","66","CCSM4","GAM"
"40","Reserva Forestal Alto Paraguá","14399","Bolivia","110","99","13","2","97","CCSM4","GAM"
"41","Yungas Inferiores de Carrasco","14401","Bolivia","168","161","11","4","157","CCSM4","GAM"
"42","Valle de San Salvador","14402","Colombia","82","89","0","7","82","CCSM4","GAM"
"43","Gravilleras del Valle del Río Siecha","14403","Colombia","59","62","0","3","59","CCSM4","GAM"
"44","Complejo Lacustre de Fúquene, Cucunubá y Palacio","14404","Colombia","62","66","1","5","61","CCSM4","GAM"
"45","Reserva Natural el Garcero y alrededores","14405","Colombia","73","74","2","3","71","CCSM4","GAM"
"46","Embalse de Punchiná y su zona de protección","14406","Colombia","65","60","9","4","56","CCSM4","GAM"
"47","Eco-parque Los Besotes","14408","Colombia","69","80","2","13","67","CCSM4","GAM"
"48","Reserva Biológica Cachalú","14409","Colombia","63","68","1","6","62","CCSM4","GAM"
"49","Reserva Natural Semillas de Agua","14410","Colombia","59","71","0","12","59","CCSM4","GAM"
"50","Embalse de San Lorenzo y Jaguas","14411","Colombia","84","89","1","6","83","CCSM4","GAM"
"51","Páramos y Bosques Altoandinos de Génova","14412","Colombia","59","71","0","12","59","CCSM4","GAM"
"52","Humedales de la Sabana de Bogotá","14413","Colombia","66","73","1","8","65","CCSM4","GAM"
"53","Reserva de Biósfera Seaflower","14414","Colombia","0","0","0","0","0","CCSM4","GAM"
"54","Reserva Natural Laguna de Sonso","14415","Colombia","76","76","5","5","71","CCSM4","GAM"
"55","Reserva Hidrográfica, Forestal y Parque Ecológico de Río Blanco","14416","Colombia","57","65","0","8","57","CCSM4","GAM"
"56","Valle del Río Frío","14417","Colombia","82","83","2","3","80","CCSM4","GAM"
"57","Cuchilla de San Lorenzo","14418","Colombia","71","70","4","3","67","CCSM4","GAM"
"58","Zona deltáica-estuarina del Río Sinú","14419","Colombia","61","61","2","2","59","CCSM4","GAM"
"59","Región del Alto Calima","14421","Colombia","79","80","3","4","76","CCSM4","GAM"
"60","Cañón del Río Barbas y Bremen","14422","Colombia","72","69","4","1","68","CCSM4","GAM"
"61","Capurganá","14423","Colombia","55","53","2","0","53","CCSM4","GAM"
"62","Cerro Pintado (Serranía de Perijá)","14424","Colombia","98","96","3","1","95","CCSM4","GAM"
"63","Serranía de las Quinchas","14425","Colombia","72","67","8","3","64","CCSM4","GAM"
"64","Reserva Natural Meremberg","14426","Colombia","59","68","1","10","58","CCSM4","GAM"
"65","Parque Nacional Natural Macuira","14428","Colombia","45","45","4","4","41","CCSM4","GAM"
"66","Región Ecodeltáica Fluvio-Estuarina del Canal del Dique","14429","Colombia","73","74","0","1","73","CCSM4","GAM"
"67","La Forzosa-Santa Gertrudis","14430","Colombia","89","88","3","2","86","CCSM4","GAM"
"68","La Planada Natural Reserve (Reserva Natural La Planada IBA)","14431","Colombia","96","100","1","5","95","CCSM4","GAM"
"69","Lago Cumbal","14432","Colombia","52","55","0","3","52","CCSM4","GAM"
"70","Parque Nacional Natural Amacayacu","14433","Colombia","64","62","3","1","61","CCSM4","GAM"
"71","Parque Nacional Natural Chingaza and surroundings","14434","Colombia","109","108","3","2","106","CCSM4","GAM"
"72","Parque Nacional Natural Cueva de los Guácharos","14435","Colombia","83","87","2","6","81","CCSM4","GAM"
"73","Parque Nacional Natural Las Orquídeas","14436","Colombia","70","73","0","3","70","CCSM4","GAM"
"74","Farallones de Cali Natural National Park","14437","Colombia","89","89","3","3","86","CCSM4","GAM"
"75","Parque Nacional Natural Los Katíos","14438","Colombia","57","57","5","5","52","CCSM4","GAM"
"76","Santuario de Fauna y Flora Los Colorados","14439","Colombia","69","70","1","2","68","CCSM4","GAM"
"77","Complejo de Humedales Costeros de la Guajira","14440","Colombia","77","73","4","0","73","CCSM4","GAM"
"78","Ciénaga de Ayapel","14442","Colombia","53","58","2","7","51","CCSM4","GAM"
"79","Parque Nacional Natural Nevado del Huila","14443","Colombia","90","90","3","3","87","CCSM4","GAM"
"80","Paramillo Natural National Park (Parque Nacional Natural Paramillo IBA)","14444","Colombia","87","88","0","1","87","CCSM4","GAM"
"81","Parque Nacional Natural Tatamá","14445","Colombia","80","83","0","3","80","CCSM4","GAM"
"82","Parque Nacional Natural Tayrona","14446","Colombia","71","70","4","3","67","CCSM4","GAM"
"83","Pueblo Bello","14447","Colombia","76","73","7","4","69","CCSM4","GAM"
"84","Reserva Natural El Pangán","14448","Colombia","77","77","1","1","76","CCSM4","GAM"
"85","Reserva Natural Tambito","14449","Colombia","100","101","4","5","96","CCSM4","GAM"
"86","Reserva Regional Bajo Cauca Nechí","14450","Colombia","82","79","3","0","79","CCSM4","GAM"
"87","Serranía de los Yariguíes","14451","Colombia","100","98","2","0","98","CCSM4","GAM"
"88","Serranía de los Churumbelos","14452","Colombia","109","107","3","1","106","CCSM4","GAM"
"89","Serranía de San Lucas","14453","Colombia","87","83","7","3","80","CCSM4","GAM"
"90","Parque Nacional Natural Ensenada de Utría","14454","Colombia","53","55","1","3","52","CCSM4","GAM"
"91","Lagunas Bombona y Vancouver","14455","Colombia","56","56","0","0","56","CCSM4","GAM"
"92","Complejo cenagoso de la margen occidental del Río Sinú","14456","Colombia","61","61","2","2","59","CCSM4","GAM"
"93","Reservas Comunitarias de Roncesvalles","14457","Colombia","62","74","0","12","62","CCSM4","GAM"
"94","Cañón del Río Alicante","14458","Colombia","67","62","7","2","60","CCSM4","GAM"
"95","Munchique Natural National Park and southern extension","14459","Colombia","91","93","2","4","89","CCSM4","GAM"
"96","Ciénaga Grande, Isla de Salamanca and Sabana Grande RAMSAR biosphere reserve","14460","Colombia","76","75","3","2","73","CCSM4","GAM"
"97","Alto Quindío","14461","Colombia","56","56","0","0","56","CCSM4","GAM"
"98","Bosques del Oriente de Risaralda","14464","Colombia","80","78","3","1","77","CCSM4","GAM"
"99","Haciendas Ganaderas del Norte del Cauca","14469","Colombia","92","89","7","4","85","CCSM4","GAM"
"100","Bosques de Tolemaida, Piscilago y alrededores","14473","Colombia","69","66","5","2","64","CCSM4","GAM"
"101","Reserva Natural Ibanasca","14475","Colombia","56","56","0","0","56","CCSM4","GAM"
"102","Finca la Betulia Reserva la Patasola","14477","Colombia","72","69","4","1","68","CCSM4","GAM"
"103","Reserva Natural Río Ñambí","14479","Colombia","77","77","1","1","76","CCSM4","GAM"
"104","San Sebastián","14480","Colombia","64","72","0","8","64","CCSM4","GAM"
"105","Complejo de Ciénagas del sur de Cesar y Bolivar","14483","Colombia","69","70","4","5","65","CCSM4","GAM"
"106","Bosques Montanos del Sur de Antioquia","14484","Colombia","84","86","0","2","84","CCSM4","GAM"
"107","Riberas de la Cuenca Baja del Río Inírida","14485","Colombia","79","77","4","2","75","CCSM4","GAM"
"108","Alto de Pisones","14486","Colombia","64","64","1","1","63","CCSM4","GAM"
"109","Reserva Forestal Yotoco","14487","Colombia","76","76","5","5","71","CCSM4","GAM"
"110","Refugio Río Claro","14489","Colombia","62","60","5","3","57","CCSM4","GAM"
"111","La Victoria","14491","Colombia","65","54","14","3","51","CCSM4","GAM"
"112","Agua de la Virgen","14492","Colombia","81","80","3","2","78","CCSM4","GAM"
"113","Cuenca del Río Toche","14493","Colombia","94","91","5","2","89","CCSM4","GAM"
"114","Puracé (Parque Nacional Natural Puracé IBA)","14494","Colombia","89","94","0","5","89","CCSM4","GAM"
"115","Parque Nacional Natural Sierra de la Macarena","14500","Colombia","99","94","7","2","92","CCSM4","GAM"
"116","Cañón del Río Guatiquía","14501","Colombia","75","81","5","11","70","CCSM4","GAM"
"117","Cerro La Judía","14503","Colombia","94","98","0","4","94","CCSM4","GAM"
"118","Isla Mocagua y Zaragocilla","14505","Colombia","63","61","3","1","60","CCSM4","GAM"
"119","Cerros Occidentales de Tabio y Tenjo","14506","Colombia","66","73","1","8","65","CCSM4","GAM"
"120","Cañón del Río Combeima","14510","Colombia","91","87","5","1","86","CCSM4","GAM"
"121","Cuenca del Río Jiménez","14511","Colombia","65","54","14","3","51","CCSM4","GAM"
"122","Cuenca del Río San Miguel","14512","Colombia","64","72","2","10","62","CCSM4","GAM"
"123","Finca Paraguay","14513","Colombia","56","56","0","0","56","CCSM4","GAM"
"124","Bosques Secos del Valle del Río Chicamocha","14516","Colombia","97","101","0","4","97","CCSM4","GAM"
"125","Reserva Ecológica Cofán-Bermejo","14517","Ecuador","90","84","8","2","82","CCSM4","GAM"
"126","Isla de la Plata","14518","Ecuador","27","23","4","0","23","CCSM4","GAM"
"127","Estación Científica Pedro Franco Dávila","14519","Ecuador","54","50","7","3","47","CCSM4","GAM"
"128","Estación Biológica Guandera-Cerro Mongus","14520","Ecuador","77","83","0","6","77","CCSM4","GAM"
"129","Reserva Biológica Tito Santos","14521","Ecuador","54","51","5","2","49","CCSM4","GAM"
"130","Reserva Ecológica Arenillas","14525","Ecuador","64","44","21","1","43","CCSM4","GAM"
"131","Reserva Buenaventura","14526","Ecuador","66","64","4","2","62","CCSM4","GAM"
"132","Centro Científico Río Palenque","14528","Ecuador","62","54","13","5","49","CCSM4","GAM"
"133","Reserva Ecológica Comunal Loma Alta","14530","Ecuador","42","45","4","7","38","CCSM4","GAM"
"134","Bosque Protector Los Cedros","14531","Ecuador","70","78","2","10","68","CCSM4","GAM"
"135","Mache Chindul Ecological Reserve and surrouding areas (Reserva Ecológica Mache-Chindul IBA)","14532","Ecuador","71","68","6","3","65","CCSM4","GAM"
"136","Bosque Protector Dudas-Mazar","14533","Ecuador","61","67","0","6","61","CCSM4","GAM"
"137","Maquipucuna-Río Guayllabamba","14534","Ecuador","70","78","2","10","68","CCSM4","GAM"
"138","Bosque Protector Puyango","14536","Ecuador","59","39","20","0","39","CCSM4","GAM"
"139","Cajas-Mazán","14537","Ecuador","54","62","0","8","54","CCSM4","GAM"
"140","Reserva Ecológica Manglares-Churute","14538","Ecuador","57","47","16","6","41","CCSM4","GAM"
"141","Parque Nacional Machalilla y alrededores","14539","Ecuador","43","45","5","7","38","CCSM4","GAM"
"142","Arajuno-Alto Napo","14540","Ecuador","90","93","4","7","86","CCSM4","GAM"
"143","Tapichalaca Reserve (Reserva Tapichalaca IBA)","14541","Ecuador","84","90","5","11","79","CCSM4","GAM"
"144","Parque Nacional Llanganates","14542","Ecuador","113","118","4","9","109","CCSM4","GAM"
"145","Parque Nacional Podocarpus","14543","Ecuador","115","116","4","5","111","CCSM4","GAM"
"146","Bosque Protector Molleturo Mullopungo","14544","Ecuador","86","87","7","8","79","CCSM4","GAM"
"147","Reserva Comunal Bosque de Angashcola","14545","Ecuador","80","87","4","11","76","CCSM4","GAM"
"148","Bosque Protector Moya-Molón","14546","Ecuador","85","92","1","8","84","CCSM4","GAM"
"149","Bajo Napo","14547","Ecuador","85","81","6","2","79","CCSM4","GAM"
"150","Territorio Étnico Awá y alrededores","14550","Ecuador","99","101","0","2","99","CCSM4","GAM"
"151","Bosque Protector Cerro Blanco","14551","Ecuador","57","45","15","3","42","CCSM4","GAM"
"152","Tiquibuzo","14553","Ecuador","72","71","5","4","67","CCSM4","GAM"
"153","Cordillera de Kutukú","14554","Ecuador","103","106","1","4","102","CCSM4","GAM"
"154","Parque Nacional Cotopaxi","14555","Ecuador","64","68","1","5","63","CCSM4","GAM"
"155","Corredor Ecológico Llanganates-Sangay","14557","Ecuador","86","93","1","8","85","CCSM4","GAM"
"156","Reserva de Producción Faunística Cuyabeno","14559","Ecuador","96","89","9","2","87","CCSM4","GAM"
"157","Cerro Mutiles","14562","Ecuador","64","63","6","5","58","CCSM4","GAM"
"158","Engunga","14563","Ecuador","47","40","9","2","38","CCSM4","GAM"
"159","Río Conambo-Bobonaza","14565","Ecuador","102","99","3","0","99","CCSM4","GAM"
"160","Intag-Toisán","14566","Ecuador","95","98","2","5","93","CCSM4","GAM"
"161","Parque Nacional Sangay","14567","Ecuador","111","113","0","2","111","CCSM4","GAM"
"162","Selva Alegre","14569","Ecuador","64","68","4","8","60","CCSM4","GAM"
"163","Territorio Achuar","14571","Ecuador","97","92","5","0","92","CCSM4","GAM"
"164","La Bonita-Santa Bárbara","14574","Ecuador","88","94","0","6","88","CCSM4","GAM"
"165","Cashca Totoras Protected Forest (Bosque Protector Cashca Totoras IBA)","14577","Ecuador","51","49","2","0","49","CCSM4","GAM"
"166","Corredor Awacachi","14578","Ecuador","89","94","0","5","89","CCSM4","GAM"
"167","Volcán Atacazo","14579","Ecuador","61","66","1","6","60","CCSM4","GAM"
"168","Reserva Ecológica Los Illinizas y alrededores","14580","Ecuador","99","102","1","4","98","CCSM4","GAM"
"169","Palanda","14582","Ecuador","80","87","4","11","76","CCSM4","GAM"
"170","Lagunas de Ecuasal-Salinas","14583","Ecuador","47","40","9","2","38","CCSM4","GAM"
"171","Yunguilla Reserve (Reserva Yunguilla)","14586","Ecuador","56","61","2","7","54","CCSM4","GAM"
"172","Ciénaga de La Segua","14588","Ecuador","56","48","10","2","46","CCSM4","GAM"
"173","Cazaderos-Mangaurquillo","14591","Ecuador","66","54","12","0","54","CCSM4","GAM"
"174","Zumba-Chito","14596","Ecuador","80","87","4","11","76","CCSM4","GAM"
"175","Reserva Ecológica Antisana","14597","Ecuador","114","118","1","5","113","CCSM4","GAM"
"176","Lago de Colta","14598","Ecuador","51","49","2","0","49","CCSM4","GAM"
"177","Tonchigüe-Mompiche","14599","Ecuador","73","68","5","0","68","CCSM4","GAM"
"178","Bosque Protector Colambo-Yacuri","14600","Ecuador","84","90","5","11","79","CCSM4","GAM"
"179","Acanamá-Guashapamba-Aguirre","14601","Ecuador","64","68","4","8","60","CCSM4","GAM"
"180","Cordillera del Cóndor","14602","Ecuador","91","97","0","6","91","CCSM4","GAM"
"181","Yanuncay-Yanasacha","14603","Ecuador","63","69","0","6","63","CCSM4","GAM"
"182","Refugio de Vida Silvestre Pasochoa","14604","Ecuador","71","78","0","7","71","CCSM4","GAM"
"183","Daucay","14605","Ecuador","65","65","10","10","55","CCSM4","GAM"
"184","Humedales de Pacoa","14607","Ecuador","47","40","9","2","38","CCSM4","GAM"
"185","Parque Nacional Sumaco-Napo Galeras","14608","Ecuador","120","120","4","4","116","CCSM4","GAM"
"186","Manglares del golfo de Guayaquil","14609","Ecuador","68","54","20","6","48","CCSM4","GAM"
"187","Reserva Ecológica Cayambe-Coca","14610","Ecuador","120","119","4","3","116","CCSM4","GAM"
"188","Reserva Natural Tumbesia-La Ceiba-Zapotillo","14611","Ecuador","55","47","9","1","46","CCSM4","GAM"
"189","Verde-Ónzole-Cayapas-Canandé","14614","Ecuador","80","78","5","3","75","CCSM4","GAM"
"190","Cayapas-Santiago-Wimbí","14615","Ecuador","76","72","5","1","71","CCSM4","GAM"
"191","Mataje-Cayapas-Santiago","14616","Ecuador","76","67","9","0","67","CCSM4","GAM"
"192","Isla Santa Clara","14617","Ecuador","38","30","11","3","27","CCSM4","GAM"
"193","Reserva Ecológica Cotacachi-Cayapas","14620","Ecuador","105","106","4","5","101","CCSM4","GAM"
"194","Archipiélago de Jambelí","14624","Ecuador","38","30","11","3","27","CCSM4","GAM"
"195","Bosque Protector Chongón-Colonche","14625","Ecuador","51","42","12","3","39","CCSM4","GAM"
"196","Catacocha","14626","Ecuador","60","59","4","3","56","CCSM4","GAM"
"197","Alamor-Celica","14627","Ecuador","81","77","4","0","77","CCSM4","GAM"
"198","Ciénagas de Guayaquil","14629","Ecuador","52","41","15","4","37","CCSM4","GAM"
"199","Isla Santay","14631","Ecuador","52","41","15","4","37","CCSM4","GAM"
"200","Cordillera de Huacamayos-San Isidro-Sierra Azul","14632","Ecuador","119","121","3","5","116","CCSM4","GAM"
"201","Refugio de Vida Silvestre Isla Corazón e Isla Fragata","14633","Ecuador","56","48","10","2","46","CCSM4","GAM"
"202","Bosque Protector Alto Nangaritza","14634","Ecuador","85","84","4","3","81","CCSM4","GAM"
"203","Montañas de Zapote-Najda","14636","Ecuador","58","64","0","6","58","CCSM4","GAM"
"204","Abras de Mantequilla","14637","Ecuador","77","73","7","3","70","CCSM4","GAM"
"205","Gran Yasuní","14641","Ecuador","97","88","11","2","86","CCSM4","GAM"
"206","Valle de Guayllabamba","14643","Ecuador","64","72","2","10","62","CCSM4","GAM"
"207","La Tagua","14644","Ecuador","59","39","20","0","39","CCSM4","GAM"
"208","Bosque Protector Cerro Pata de Pájaro","14645","Ecuador","81","77","5","1","76","CCSM4","GAM"
"209","Utuana-Bosque de Hanne","14647","Ecuador","60","59","4","3","56","CCSM4","GAM"
"210","Tambo Negro","14648","Ecuador","60","59","4","3","56","CCSM4","GAM"
"211","Bosque Protector Jatumpamba-Jorupe","14649","Ecuador","60","59","4","3","56","CCSM4","GAM"
"212","Cañón del río Catamayo","14650","Ecuador","69","68","4","3","65","CCSM4","GAM"
"213","Represa Velasco Ibarra","14653","Ecuador","47","40","9","2","38","CCSM4","GAM"
"214","Cordillera El Bálsamo","14654","Ecuador","62","55","10","3","52","CCSM4","GAM"
"215","Cerro de Hayas-Naranjal","14655","Ecuador","49","40","17","8","32","CCSM4","GAM"
"216","Hacienda Camarones","14656","Ecuador","54","51","5","2","49","CCSM4","GAM"
"217","Tierras altas de Isabela","14659","Ecuador","12","11","1","0","11","CCSM4","GAM"
"218","Tierras altas de Santiago","14660","Ecuador","10","10","0","0","10","CCSM4","GAM"
"219","Tierras altas de Santa Cruz","14661","Ecuador","12","11","1","0","11","CCSM4","GAM"
"220","Puerto Ayora","14662","Ecuador","11","11","0","0","11","CCSM4","GAM"
"221","Isla Floreana","14663","Ecuador","12","12","1","1","11","CCSM4","GAM"
"222","Champion y Gardner de Floreana","14664","Ecuador","11","12","0","1","11","CCSM4","GAM"
"223","Isla Española","14665","Ecuador","12","11","1","0","11","CCSM4","GAM"
"224","Isla San Cristóbal","14666","Ecuador","12","12","0","0","12","CCSM4","GAM"
"225","Reserva Nacional Pacaya Samiria","14671","Peru","98","92","6","0","92","CCSM4","GAM"
"226","Lago Lagunillas","14674","Peru","55","55","2","2","53","CCSM4","GAM"
"227","Moyobamba","14677","Peru","104","100","10","6","94","CCSM4","GAM"
"228","Abra Málaga-Vilcanota","14682","Peru","88","91","1","4","87","CCSM4","GAM"
"229","Lagos Yanacocha","14684","Peru","88","91","1","4","87","CCSM4","GAM"
"230","Quincemil","14687","Peru","147","155","3","11","144","CCSM4","GAM"
"231","Tambopata","14690","Peru","130","125","8","3","122","CCSM4","GAM"
"232","Mina Inca","14691","Peru","111","108","14","11","97","CCSM4","GAM"
"233","Sandia","14692","Peru","112","112","10","10","102","CCSM4","GAM"
"234","Maruncunca","14693","Peru","112","112","10","10","102","CCSM4","GAM"
"235","Valcón","14694","Peru","112","112","10","10","102","CCSM4","GAM"
"236","Reserva Nacional Salinas y Aguada Blanca","14695","Peru","67","68","0","1","67","CCSM4","GAM"
"237","Río Tambo y Lagunas de Mejía","14696","Peru","31","26","9","4","22","CCSM4","GAM"
"238","Aypate","14698","Peru","56","60","4","8","52","CCSM4","GAM"
"239","Toldo","14699","Peru","90","99","3","12","87","CCSM4","GAM"
"240","Talara","14701","Peru","39","38","2","1","37","CCSM4","GAM"
"241","Covire","14702","Peru","57","60","0","3","57","CCSM4","GAM"
"242","Reserva Amazónica","14703","Peru","101","79","25","3","76","CCSM4","GAM"
"243","La Cocha","14704","Peru","73","76","5","8","68","CCSM4","GAM"
"244","Paltashaco","14712","Peru","60","56","6","2","54","CCSM4","GAM"
"245","Laguna Umayo","14716","Peru","57","57","2","2","55","CCSM4","GAM"
"246","Ramis y Arapa (Lago Titicaca, sector Peruano)","14717","Peru","74","74","3","3","71","CCSM4","GAM"
"247","Morona","14719","Peru","59","58","3","2","56","CCSM4","GAM"
"248","Cordillera Vilcabamba","14724","Peru","156","142","16","2","140","CCSM4","GAM"
"249","Bahuaja-Sonene","14725","Peru","175","171","6","2","169","CCSM4","GAM"
"250","Coto de Caza El Angolo","14731","Peru","48","42","9","3","39","CCSM4","GAM"
"251","Cerro Chinguela","14735","Peru","80","82","5","7","75","CCSM4","GAM"
"252","San Jose de Lourdes","14736","Peru","75","79","2","6","73","CCSM4","GAM"
"253","La Esperanza","14738","Peru","59","54","7","2","52","CCSM4","GAM"
"254","Urakusa","14743","Peru","64","57","8","1","56","CCSM4","GAM"
"255","Jesús del Monte","14752","Peru","81","83","4","6","77","CCSM4","GAM"
"256","Rafán","14759","Peru","29","23","7","1","22","CCSM4","GAM"
"257","Champará","14767","Peru","62","64","1","3","61","CCSM4","GAM"
"258","Chacchan","14770","Peru","65","67","0","2","65","CCSM4","GAM"
"259","San Damián-Berna Puquio","14771","Peru","56","58","0","2","56","CCSM4","GAM"
"260","Bosque de Noqno","14772","Peru","67","65","4","2","63","CCSM4","GAM"
"261","Parque Nacional Huascarán","14773","Peru","72","73","2","3","70","CCSM4","GAM"
"262","Cullcui","14775","Peru","91","97","2","8","89","CCSM4","GAM"
"263","Alto Purus","14783","Peru","99","83","18","2","81","CCSM4","GAM"
"264","Alto Valle Santa Eulalia-Milloc","14785","Peru","74","75","0","1","74","CCSM4","GAM"
"265","Bosque de Zárate","14786","Peru","74","75","0","1","74","CCSM4","GAM"
"266","Hortigal","14787","Peru","60","58","3","1","57","CCSM4","GAM"
"267","Lago de Junín","14788","Peru","93","94","2","3","91","CCSM4","GAM"
"268","Marcapomacocha","14789","Peru","63","69","1","7","62","CCSM4","GAM"
"269","Pampas Pucacocha y Curicocha","14790","Peru","56","59","1","4","55","CCSM4","GAM"
"270","Yauli","14791","Peru","68","69","1","2","67","CCSM4","GAM"
"271","Pisco","14792","Peru","24","24","1","1","23","CCSM4","GAM"
"272","Nazca","14794","Peru","61","61","1","1","60","CCSM4","GAM"
"273","Reserva Nacional Pampa Galeras","14796","Peru","57","58","2","3","55","CCSM4","GAM"
"274","Santuario Nacional del Ampay","14800","Peru","67","67","2","2","65","CCSM4","GAM"
"275","Runtacocha-Morococha","14801","Peru","67","67","2","2","65","CCSM4","GAM"
"276","Tacna","14803","Peru","54","39","17","2","37","CCSM4","GAM"
"277","Volcán Yucamani","14805","Peru","57","60","0","3","57","CCSM4","GAM"
"278","Huamba","14806","Peru","90","99","3","12","87","CCSM4","GAM"
"279","Chiñama","14807","Peru","60","73","2","15","58","CCSM4","GAM"
"280","San Marcos","14814","Peru","63","66","1","4","62","CCSM4","GAM"
"281","Santuario Histórico Machu Picchu","14817","Peru","100","105","1","6","99","CCSM4","GAM"
"282","Reserva Nacional Lomas de Lachay","14820","Peru","41","34","9","2","32","CCSM4","GAM"
"283","Isla Lobos de Afuera","14821","Peru","37","34","4","1","33","CCSM4","GAM"
"284","Isla Pachacámac","14822","Peru","32","30","3","1","29","CCSM4","GAM"
"285","Llaguén","14825","Peru","54","52","3","1","51","CCSM4","GAM"
"286","Cochabamba","14826","Peru","65","67","0","2","65","CCSM4","GAM"
"287","Wiñapajatun","14827","Peru","56","58","0","2","56","CCSM4","GAM"
"288","Cordillera del Cóndor","14832","Peru","105","108","1","4","104","CCSM4","GAM"
"289","Reserva Comunal El Sira","14834","Peru","104","94","10","0","94","CCSM4","GAM"
"290","Valle del Majes","14835","Peru","65","65","0","0","65","CCSM4","GAM"
"291","Las Delicias","14836","Peru","51","44","11","4","40","CCSM4","GAM"
"292","Laguna El Paraíso","14837","Peru","35","26","10","1","25","CCSM4","GAM"
"293","Pantanos de Villa","14838","Peru","32","30","3","1","29","CCSM4","GAM"
"294","Laguna de Ite","14839","Peru","36","26","10","0","26","CCSM4","GAM"
"295","Lagunas de Huacarpay","14840","Peru","65","68","3","6","62","CCSM4","GAM"
"296","Laguna Maquera","14842","Peru","55","55","2","2","53","CCSM4","GAM"
"297","Los Amigos","14847","Peru","103","82","23","2","80","CCSM4","GAM"
"298","Santuario Nacional Tabaconas-Namballe","14848","Peru","80","82","5","7","75","CCSM4","GAM"
"299","Cordillera Yanachaga","14852","Peru","141","134","11","4","130","CCSM4","GAM"
"300","Lago Parinacochas","14853","Peru","57","59","1","3","56","CCSM4","GAM"
