Species
Camarhynchus_psittacula
Platyspiza_crassirostris
Mimus_parvulus
Buteo_galapagoensis
Geospiza_magnirostris
Geospiza_difficilis
Glaucidium_sanchezi
Chionis_albus
Eleoscytalopus_psychopompus
Picumnus_fuscus
Xolmis_salinarum
Icterus_northropi
Cinclodes_comechingonus
Chlorostilbon_olivaresi
Pteroptochos_castaneus
Pluvianellus_socialis
Conirostrum_tamarugense
Geositta_antarctica
Phalcoboenus_australis
Scytalopus_diamantinensis
Podiceps_gallardoi
Poecilotriccus_senex
Cranioleuca_sulphurifera
Megascops_sanctaecatarinae
Augastes_lumachella
Leptodon_forbesi
Nothura_chacoensis
Asthenes_hudsoni
Grallaricula_lineifrons
Coccyzus_bahamensis
Picumnus_nebulosus
Scytalopus_zimmeri
Hemitriccus_kaempferi
Geositta_isabellina
Cinclodes_antarcticus
Asthenes_luizae
Phyllomyias_weedeni
Onychorhynchus_swainsoni
Pyriglena_atra
Colaptes_campestroides
Clibanornis_dendrocolaptoides
Ara_rubrogenys
Conothraupis_mesoleuca
Snowornis_subalaris
Cranioleuca_obsoleta
Rhea_pennata
Dendroica_kirtlandii
Limnothlypis_swainsonii
Formicivora_grantsaui
Melanodera_melanodera
Asthenes_flammulata
Thamnophilus_divisorius
Leptasthenura_striolata
Toxostoma_cinereum
Myrmotherula_unicolor
Panterpe_insignis
Phlogophilus_hemileucurus
Xolmis_rubetra
Cinclodes_aricomae
Lepidocolaptes_falcinellus
Metallura_phoebe
Nyctiprogne_vielliardi
Compsospiza_baeri
Helmitheros_vermivorum
Penelope_dabbenei
Muscisaxicola_capistratus
Capito_quinticolor
Amazona_tucumana
Geositta_maritima
Picumnus_limae
Pselliophorus_tibialis
Campylopterus_villaviscensio
Eudromia_formosa
Contopus_lugubris
Selasphorus_sasin
Piprites_pileata
Anthus_cervinus
Hemitriccus_orbitatus
Phoenicoparrus_jamesi
Calidris_subruficollis
Lipaugus_uropygialis
Ortalis_araucuan
Cyanolyca_turcosa
Augastes_scutatus
Pseudasthenes_patagonica
Geothlypis_flavovelata
Tijuca_atra
Dendroica_chrysoparia
Arremon_franciscanus
Agriornis_micropterus
Megascops_colombianus
Tijuca_condita
Sicalis_lebruni
Stephanoxis_loddigesii
Tangara_fastuosa
Muscisaxicola_albifrons
Nothoprocta_taczanowskii
Thalurania_watertonii
Andigena_laminirostris
Hylocichla_mustelina
Poospiza_lateralis
Leptasthenura_striata
Urochroa_leucura
Hemispingus_calophrys
Tachycineta_cyaneoviridis
Cercomacra_carbonaria
Thryothorus_euophrys
Haplophaedia_aureliae
Basileuterus_leucoblepharus
Synallaxis_cinerascens
Eriocnemis_vestita
Pseudoleistes_virescens
Asthenes_maculicauda
Megascops_hoyi
Phalcoboenus_carunculatus
Opisthoprora_euryptera
Thripophaga_macroura
Ochetorhynchus_phoenicurus
Diglossa_indigotica
Percnostola_arenarum
Parkesia_motacilla
Icterus_graceannae
Hylopezus_nattereri
Sitta_pusilla
Lepidothrix_vilasboasi
Sporophila_cinnamomea
Progne_murphyi
Poospiza_cabanisi
Cyclarhis_nigrirostris
Drymophila_genei
Alectrurus_risora
Thryothorus_nicefori
Tangara_dowii
Oreotrochilus_chimborazo
Rhodopis_vesper
Myrmoborus_melanurus
Amazona_pretrei
Heliobletus_contaminatus
Glaucidium_tucumanum
Passerina_leclancherii
Pyrrhura_lucianii
Acropternis_orthonyx
Pipreola_lubomirskii
Chlorospingus_flavovirens
Geotrygon_montana
Wilsonia_citrina
Grallaria_alleni
Heliodoxa_imperatrix
Urosticte_benjamini
Piranga_rubriceps
Ortalis_leucogastra
Formicivora_serrana
Anthus_nattereri
Tinamotis_ingoufi
Phrygilus_erythronotus
Touit_stictopterus
Tangara_preciosa
Empidonax_virescens
Tolmomyias_traylori
Phacellodomus_ferrugineigula
Myrmeciza_disjuncta
Melanerpes_chrysogenys
Phylloscartes_kronei
Anairetes_alpinus
Clytoctantes_atrogularis
Phaethornis_mexicanus
Pseudocolaptes_lawrencii
Melanerpes_carolinus
Geocerthia_serrana
Oreotrochilus_adela
Leucippus_baeri
Asthenes_pyrrholeuca
Knipolegus_franciscanus
Hypopyrrhus_pyrohypogaster
Neoxolmis_rufiventris
Anopetia_gounellei
Scytalopus_pachecoi
Formicarius_rufifrons
Oporornis_formosus
Charadrius_modestus
Selasphorus_flammula
Selasphorus_scintilla
Malacoptila_minor
Pseudocolopteryx_flaviventris
Sicalis_taczanowskii
Geothlypis_rostrata
Urosticte_ruficrissa
Pyrrhura_pfrimeri
Asthenes_moreirae
Amazona_finschi
Chamaepetes_unicolor
Attila_phoenicurus
Poecilotriccus_russatus
Oreopsar_bolivianus
Galbula_pastazae
Amazilia_decora
Grallaria_gigantea
Scytalopus_rodriguezi
Picumnus_sclateri
Tarphonomus_harterti
Vermivora_cyanoptera
Andigena_cucullata
Calidris_mauri
Dysithamnus_xanthopterus
Jacamaralcyon_tridactyla
Piaya_mexicana
Rhea_tarapacensis
Vireo_brevipennis
Buteo_brachyurus
Heliodoxa_schreibersii
Limnodromus_scolopaceus
Eurypyga_helias
Mitu_salvini
Sporophila_melanogaster
Neopelma_chrysolophum
Nonnula_amaurocephala
Cyanocorax_caeruleus
Paroaria_baeri
Rollandia_microptera
Ochetorhynchus_melanura
Herpsilochmus_pectoralis
Herpetotheres_cachinnans
Upucerthia_albigula
Leptasthenura_setaria
Phytotoma_raimondii
Buthraupis_aureodorsalis
Atlapetes_forbesi
Speculanas_specularis
Melanerpes_chrysauchen
Phyllomyias_virescens
Florisuga_mellivora
Pionus_reichenowi
Tinamotis_pentlandii
Cyanolyca_pulchra
Turdus_rufopalliatus
Cnemoscopus_rubrirostris
Buthraupis_wetmorei
Anisognathus_notabilis
Ortalis_wagleri
Thryothorus_semibadius
Dendroica_pensylvanica
Synallaxis_kollari
Asthenes_heterura
Automolus_lammi
Knipolegus_hudsoni
Carpornis_melanocephala
Pauxi_unicornis
Chlorophonia_flavirostris
Euphonia_chalybea
Notharchus_swainsoni
Sporophila_palustris
Mitrospingus_oleagineus
Callipepla_douglasii
Odontophorus_leucolaemus
Saltator_maximus
Hemitriccus_obsoletus
Myrmeciza_pelzelni
Drymophila_rubricollis
Xenospingus_concolor
Lampornis_hemileucus
Laterallus_leucopyrrhus
Sturnella_defilippii
Malacoptila_striata
Forpus_cyanopygius
Myiarchus_phaeocephalus
Geositta_punensis
Myrmeciza_goeldii
Pseudoseisura_gutturalis
Entomodestes_coracinus
Amphispiza_quinquestriata
Dysithamnus_plumbeus
Sporophila_nigrorufa
Scytalopus_argentifrons
Knipolegus_cyanirostris
Crypturellus_transfasciatus
Chiroxiphia_boliviana
Cinnycerthia_olivascens
Cyanocorax_yucatanicus
Cacicus_melanicterus
Phainoptila_melanoxantha
Claravis_pretiosa
Grallaria_erythrotis
Lipaugus_streptophorus
Thryothorus_felix
Atlapetes_leucopis
Cranioleuca_albiceps
Thlypopsis_pectoralis
Chlorophonia_callophrys
Ara_glaucogularis
Cathartes_aura
Chiroxiphia_caudata
Haematopus_leucopodus
Pyrrhura_amazonum
Dacnis_nigripes
Haplospiza_unicolor
Piaya_cayana
Jacamerops_aureus
Furnarius_cristatus
Leptasthenura_platensis
Cercomacra_ferdinandi
Wetmorethraupis_sterrhopteron
Hemispingus_atropileus
Phlegopsis_borbae
Chlorospingus_semifuscus
Myiarchus_crinitus
Cyanocorax_beecheii
Lesbia_victoriae
Asthenes_harterti
Elvira_chionura
Tumbezia_salvini
Terenotriccus_erythrurus
Crypturellus_soui
Contopus_ochraceus
Mackenziaena_leachii
Hylatomus_lineatus
Myrmotherula_grisea
Leucochloris_albicollis
Drymophila_malura
Cyanocorax_mystacalis
Tachyphonus_coronatus
Ibycter_americanus
Mackenziaena_severa
Polioptila_lactea
Todirostrum_poliocephalum
Diglossa_major
Chunga_burmeisteri
Celeus_tinnunculus
Glaucidium_palmarum
Margarornis_stellatus
Zentrygon_chiriquensis
Megarynchus_pitangua
Leptodon_cayanensis
Spiza_americana
Coccycua_minuta
Myrmia_micrura
Strix_chacoensis
Trogon_bairdii
Poospiza_cinerea
Siptornis_striaticollis
Dysithamnus_occidentalis
Saltator_grossus
Andigena_nigrirostris
Campylopterus_hyperythrus
Aglaeactis_pamela
Atlapetes_schistaceus
Antrostomus_vociferus
Mionectes_rufiventris
Asthenes_baeri
Sakesphorus_cristatus
Pipile_jacutinga
Penelope_jacucaca
Nyctidromus_albicollis
Spartonoica_maluroides
Thalurania_glaucopis
Dendroplex_picus
Lophospingus_pusillus
Stephanophorus_diadematus
Contopus_virens
Calamospiza_melanocorys
Rupornis_magnirostris
Pyrrhocoma_ruficeps
Thamnophilus_aroyae
Furnarius_torridus
Ochetorhynchus_andaecola
Chloephaga_hybrida
Picumnus_temminckii
Hylatomus_schulzii
Atlapetes_rufinucha
Progne_chalybea
Corythopis_torquatus
Pseudelaenia_leucospodia
Cacicus_cela
Falco_rufigularis
Veniliornis_spilogaster
